Material Cost (R),Material Charges (R),Asset ID,Install Date,Asset MFG Date,In Service?,Model Number,Model Number MFG,Manufacturer ID
0,0,136799,1/23/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
234.99,270.24,EE169776,7/24/2019,,TRUE,EVOLUTION,EVOLUTION,SIZEWISE
0,0,EE192673,1/4/2021,,TRUE,OOK SNOW,FL36,Umano
0,0,EE192699,1/4/2021,,TRUE,OOK SNOW,FL36,Umano
0,0,MX2213658,5/24/2023,7/1/2020,TRUE,,,Stryker
0,0,MX2213660,5/24/2023,7/1/2020,TRUE,,,Stryker
0,0,13889,2/23/2023,3/1/2010,TRUE,S3,3002,Stryker
0,0,20865,9/19/2022,,TRUE,SPIRIT SELECT,5700,CHG
0,0,EE110531,7/27/2020,4/8/2011,TRUE,VERSACARE,P3200J000001,HILL-ROM
85.86,98.74,EE169767,7/24/2019,,TRUE,EVOLUTION,EVOLUTION,SIZEWISE
0,0,125424,11/30/2016,9/1/2009,TRUE,M-SERIES,1015,Stryker
0,0,29321,11/6/2022,7/1/2020,TRUE,PRIME ZOOM,1125,Stryker
504.78,504.78,130534,8/24/2018,9/21/2017,TRUE,PROGRESSA,P7500A000131,HILL-ROM
0,0,138431,10/29/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
0,0,EE145380,2/14/2024,,TRUE,Procuity ZMX,,Stryker
0,0,MX2054817,12/4/2020,12/10/2019,TRUE,CENTRELLA,P7900,HILL-ROM
0,0,136949,1/30/2019,,TRUE,CENTRELLA,P7900B000011,HILL-ROM
0,0,176862,4/12/2022,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
0,0,EE115927,5/30/2023,3/19/2015,TRUE,VERSACARE,,HILL-ROM
0,0,MX1649218,5/13/2019,9/21/2017,TRUE,VERSACARE,P3200K000122,HILL-ROM
0,0,165920,12/29/2022,7/1/2020,TRUE,1105 Prime Series stretcher,1105,Stryker
52.41,65.51,19525,9/18/2022,3/1/2015,TRUE,ZOOM,1125,Stryker
0,0,MX2220021,9/29/2022,7/1/2020,TRUE,ZOOM,1125-000-000E,Stryker
0,0,138428,10/31/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
